69,69(体位)
undressing,脱衣服中
uniform,制服
valentine,情人节
vampire,吸血鬼
very_long_hair,很长的头发
vibrator,带振动的自慰器
vibrator_in_thighhighs,震动开关在过膝袜里
virgin,处女/破瓜
voyeurism,窥阴癖
waitress,女服务员
wakamezake,酒倒在阴部
wallpaper,壁纸
wand,魔杖
watercolor_(medium),透明水彩绘
waving,招手
wavy_hair,波浪发型
weapons,武器
wedding_dress,婚纱
western,西部风格
wet,湿身
what,不知所谓
white_eyes,白眼
white_hair,白发
white_panties,白色内裤
white_thighhighs,白色过膝袜
wide_hips,宽盆骨
wince,闭一只眼
wine,葡萄酒
wink,眨眼
wooden_horse,木马
wrist_cuffs,腕饰
wristband,腕带
w-sitting,割坐
yellow_eyes,金眼
yokozuwari,侧身坐
yukata,浴衣
yukkuri_shiteitte_ne,油库里（馒头样只有头的人物）
yuri,百合
zettai_ryouiki,绝对领域
zoom_layer,背景是前景的放大版
2k-tan,2K碳
abe_nana,安部菜菜
admiral_graf_spee_(azur_lane),斯佩伯爵海军上将（碧蓝航线）
aegis_(persona),艾吉斯（女神异闻录）
aerith_gainsborough,艾丽丝·盖恩斯巴勒
afuro_terumi,亚风炉照美
agrias_oaks,阿格莉亚丝
ahri_(league_of_legends),阿狸
aida_mana,相田爱
aino_megumi,爱乃惠
aino_minako,爱野美奈子
aircraft_carrier_oni,空母棲鬼
aisaka_taiga,逢坂大河
aisha_landar,艾尔莎·兰达
akagi_(azur_lane),赤城(碧蓝航线)
akagi_miria,赤城米莉亚
akali,阿卡丽
akashi_(azur_lane),明石|明石(碧蓝航线)
akatsuki_kirika,晓切歌
akaza_akari,赤座灯里
akemi_homura,晓美焰
aki_(girls_und_panzer),小秋(少女与战车)
aki_minoriko,秋穰子
aki_shizuha,秋静叶
akita_neru,亚北音留
akiyama_mio,秋山澪
akiyama_yukari,秋山优花里
akizuki_ritsuko,秋月律子
akizuki_ryo,秋月凉
akuma_homura,恶魔焰
alastor_(shakugan_no_shana),天壤劫火·亚拉斯特尔
alena_(dq4),安莉娜公主(勇者斗恶龙4)
alice_cartelet,爱丽丝·卡塔雷特
alice_margatroid,爱丽丝·玛格特罗依德
alice_margatroid_(pc-98),爱丽丝·玛格特罗依德(PC-98)
alisa_(girls_und_panzer),亚理纱（少女与战车）
alisa_ilinichina_amiella,亚莉莎·伊莉妮提娜·阿米耶拉
alpaca_suri_(kemono_friends),苏利羊驼（动物朋友）
alphonse_elric,阿尔冯斯·艾尔利克
altera_(fate),阿提拉(Fate)
amagi_yukiko,天城雪子
amami_haruka,天海春香
amamiya_ren,雨宫莲
amanogawa_kirara,天之川绮罗
amasawa_yuuko,天泽勇子
amaterasu_(ookami),天照大神
amazon_(dragon's_crown),亚马逊女战士（龙之皇冠）
america_(hetalia),阿尔弗雷德·F·琼斯
amiya_(arknights),阿米娅（明日方舟）
anastasia_(idolmaster),安娜斯塔西娅（偶像大师）
anchovy_(girls_und_panzer),安丘比（少女与战车）
andou_(girls_und_panzer),安藤（少女与战车）
android_18,人造人18号
android_21,人造人21号
anegasaki_nene,姐崎宁宁
ange_(princess_principal),安洁（公主准则）
angel_(kof),安琪儿（拳皇）
angela_balzac,安吉拉·巴尔扎克（乐园追放）
anila_(granblue_fantasy),阿妮拉（碧蓝幻想）
anjou_naruko,安城鸣子
anna_(frozen),安娜（冰雪奇缘）
annie_leonhardt,亚妮·雷恩哈特
anya_alstreim,阿尼亚·阿尔斯托莱姆
aoba_moca,青叶摩卡
aoki_reika,青木丽华
aono_miki,苍乃美希
aozaki_aoko,苍崎青子
aqua_(konosuba),阿库娅
ara_haan,艾拉·韩
aragaki_ayase,新垣绫濑
aragaki_shinjirou,荒垣真次郎
araragi_karen,阿良良木火怜
araragi_koyomi,阿良良木历
araragi_tsukihi,阿良良木月火
arcueid_brunestud,爱尔奎特·布伦史塔德
arle_nadja,阿露露（噗哟噗哟）
armin_arlert,阿尔敏·阿诺德
arthur_pendragon_(fate),旧剑(fate)
artoria_pendragon_(fate),阿尔托莉雅·潘德拉贡
artoria_pendragon_(swimsuit_ruler)_(fate),泳装狮子王(fate)
asahina_mikuru,朝比奈实玖瑠
asahina_mirai,朝日奈未来
asakura_ryouko,朝仓凉子
asbel_lhant,阿斯贝尔·兰特
ashido_mina,芦户三奈
assam_(girls_und_panzer),阿萨姆（少女与战车）
assassin_(fate/zero),暗杀者(fate/zero)
asseylum_vers_allusia,艾瑟依拉姆·薇瑟·艾莉欧斯亚
astolfo_(fate),阿斯托尔福（命运）
asui_tsuyu,蛙吹梅雨
asuna_(sao),结城明日奈
asuna_(sao-alo),亚丝娜(ALO)
atago_(azur_lane),爱宕(碧蓝航线)
atago_(summer_march)_(azur_lane),爱宕（夏季进行曲）
atalanta_(fate),阿塔兰塔(fate)
au_ra,敖龙族
ayanami_(azur_lane),绫波（碧蓝航线）
ayanami_rei,绫波丽
ayane_(doa),绫音（死或生）
ayase_eli,绚濑绘里
ayatsuji_tsukasa,绚辻词
azura_(fire_emblem),阿库娅（火焰之纹章）
baiken,梅喧
bakugou_katsuki,爆豪胜己
bardiche,雷光战斧
bayonetta,贝优妮塔（猎天使魔女）
bazett_fraga_mcremitz,巴泽特·弗拉加·马克雷密斯
bb_(fate),bb_(命运)
bb_(swimsuit_mooncancer)_(fate),泳装BB
beatrice_(umineko),碧昂特莉丝(Umineko)
beatrix_(granblue_fantasy),贝阿朵丽丝（碧蓝幻想）
bianca_(pokemon),白露（口袋妖怪）
belarus_(hetalia),娜塔莎·阿尔洛夫斯卡娅
belfast_(azur_lane),贝尔法斯特
belldandy,贝露丹蒂
bernadetta_von_varley,贝尔娜提塔
berserker_(fate/zero),狂兰|狂阶兰斯洛特
black_hanekawa,黑羽川
black_heart,圣黑之心
black_rock_shooter_(character),黑岩射手
blake_belladonna,布蕾克·贝拉多娜
blanc_(neptune_series),布兰（海王星）
boa_hancock,海贼女帝波雅·汉库克
chen,橙
chi-class_torpedo_cruiser,雷巡チ級
chitanda_eru,千反田爱瑠
chiyoda_momo,千代田桃
chun-li,春麗
commander_(azur_lane),指挥官（碧蓝航线）
corrin_(fire_emblem)_(female),神威（女）
corrin_(fire_emblem)_(male),神威（男）
d.va_(overwatch),D.Va（守望先锋）
daidouji_tomoyo,大道寺知世
daiyousei,大妖精
dark_sakura,黑樱
dekomori_sanae,凸守早苗
doctor_(arknights),博士
doujima_nanako,堂岛菜菜子
eldridge_(azur_lane),埃尔德里奇（碧蓝航线）
elin,艾琳族
elise_(fire_emblem),伊莉丝（火焰之纹章）
emiya_kiritsugu,卫宫切嗣
emiya_shirou,卫宫士郎
endou_mamoru,圆堂守
ene_(kagerou_project),榎本贵音（阳炎计划）
enma_ai,阎魔爱
enoshima_junko,江之岛盾子
enterprise_(azur_lane),企业（碧蓝航线）
error_musume,报错娘
erwin_(girls_und_panzer),松本里子
eva_01,初号机
eva_02,二号机
exusiai_(arknights),能天使
failure_penguin,失败的企鹅
female_protagonist_(pokemon_go),女トレーナー(ポケモンGO)
female_saniwa_(touken_ranbu),女審神者
flandre_scarlet,芙兰朵露·斯卡蕾特
formidable_(azur_lane),可畏(碧蓝航线)
frankenstein's_monster_(fate),フランケンシュタイン(Fate)
fubuki_(one-punch_man),地狱吹雪
fujibayashi_kyou,藤林杏
fujimaru_ritsuka_(female),咕哒子
fujimaru_ritsuka_(male),咕哒男
fujimura_taiga,藤村大河
fujisaki_chihiro,不二咲千寻
fujiwara_chika,藤原千花
fujiwara_no_mokou,藤原妹红
fukuji_mihoko,福路美穗子
fukuzawa_yumi,福泽祐巳
funami_yui,船见结衣
furude_rika,古手梨花
furudo_erika,古戸ヱリカ
furukawa_nagisa,古河渚
furutani_himawari,古谷向日葵
futaba_anzu,双叶杏
futami_ami,双海亚美
futami_mami,双海真美
futatsuiwa_mamizou,二ッ岩マミゾウ
fuura_kafuka,风浦可符香
galko,ギャル子
gamagoori_ira,蟇郡苛
ganaha_hibiki,我那霸响
garnet_til_alexandros_xvii,ガーネット・ティル・アレクサンドロス17世
gasai_yuno,我妻由乃
gokotai,五虎退
gokou_ruri,五更瑠璃
hachikuji_mayoi,八九寺真宵
hacka_doll_3,ハッカドール3号
hagiwara_yukiho,萩原雪歩
hakurei_reimu,博丽灵梦
hakuryuu_(inazuma_eleven),白竜
hammann_(azur_lane),哈曼(碧蓝航线)
hanamura_yousuke,花村陽介
hanasaki_tsubomi,花咲つぼみ
hanekawa_tsubasa,羽川翼
hanyuu,羽入
haramura_nodoka,原村和
harime_nui,針目縫
haruno_haruka,春野はるか
haruno_sakura,春野サクラ
hasegawa_kobato,羽瀬川小鳩
hassan_of_serenity_(fate),宁静的哈桑（命运）
hata_no_kokoro,秦こころ
hatoba_tsugu,鳩羽つぐ
hatsune_miku,初音未来
hatsune_miku_(append),初音ミクappend
hayami_kanade,速水奏
hayasaka_mirei,早坂美玲
hecatia_lapislazuli,ヘカーティア・ラピスラズリ
heiwajima_shizuo,平和島静雄
heshikiri_hasebe,へし切長谷部(刀剣乱舞)
hibari_(senran_kagura),云雀（闪乱神乐）
hidaka_ai,日高爱
hieda_no_akyuu,稗田阿求
higashi_setsuna,東せつな
higuchi_kaede,樋口楓
hiiragi_kagami,柊镜
hiiragi_tsukasa,柊つかさ
hijiri_byakuren,聖白蓮
hikawa_hina,氷川日菜
hikawa_sayo,氷川紗夜
himejima_akeno,姬岛朱乃
himekaidou_hatate,姫海棠はたて
himekawa_yuki,姫川友紀
hina_ichigo,雛苺
hinanawi_tenshi,比那名居天子
hinata_hideki,日向
hinata_hajime,日向創
hinatsuru_ai,雛鶴あい
hino_akane_(idolmaster),日野茜
hino_akane_(smile_precure!),日野あかね
hino_rei,火野レイ
hiradaira_chisaki,比良平ちさき
hirasawa_ui,平沢憂
hirasawa_yui,平泽唯
hishikawa_rikka,菱川六花
honda_mio,本田未央
honebami_toushirou,骨喰藤四郎
hong_meiling,红美铃
honma_meiko,本間芽衣子
horikawa_kunihiro,堀川国広
horikawa_raiko,堀川雷鼓
hoshiguma_(arknights),星熊
hoshiguma_yuugi,星熊勇仪
hoshii_miki,星井美希
hoshimiya_ichigo,星宮いちご
hoshimiya_kate,星宮ケイト
hoshizora_miyuki,星空みゆき
hoshizora_rin,星空凛
hotarumaru,蛍丸
hoto_cocoa,保登心爱
houjou_hibiki,北条響
hojo_karen,北条加蓮
houjou_satoko,北条沙都子
houjuu_nue,封獣ぬえ
hourai_doll,蓬莱人形
houraisan_kaguya,蓬莱山辉夜
houshou_marine,宝钟玛琳
huang_baoling,黄宝鈴
huang_lingyin,凰铃音
hyuuga_hinata,日向ヒナタ
ibaraki_kasen,茨木華扇
ibuki_(street_fighter),息吹
ibuki_fuuko,伊吹風子
ibuki_suika,伊吹萃香
ichigo_hitofuri,一期一振
ichihara_nina,市原仁奈
ichinose_kotomi,一ノ瀬ことみ
ichinose_shiki,一之濑志希
i-class_destroyer,駆逐イ級
igarashi_futaba_(shiromanta),五十嵐双葉
igarashi_kyou_(eroe),五十嵐京
ikamusume,イカ娘
ikari_shinji,碇シンジ
imaizumi_kagerou,今泉影狼
inaba_tewi,因幡てゐ
inami_mahiru,伊波まひる
inkling,インクリング
inoue_orihime,井上織姫
inubashiri_momiji,犬走椛
inugami_korone,戌神ころね
inumuta_houka,犬牟田宝火
inuyama_aoi,犬山あおい
iori_junpei,伊織順平
iori_rinko,イオリ・リン子
iroha_(samurai_spirits),いろは(侍魂)
isobe_noriko,磯辺典子
isolated_island_oni,離島棲鬼
isshiki_akane,一色あかね
isuzu_hana,五十鈴華
itoshiki_nozomu,糸色望
itsumi_erika,逸見エリカ
izayoi_aki,十六夜アキ
izayoi_liko,十六夜リコ
izayoi_sakuya,十六夜咲夜
izumi_konata,泉此方
izumi_sagiri,和泉纱雾
izumi-no-kami_kanesada,和泉守兼定
jakuzure_nonon,蛇崩乃音
japan_(hetalia),本田菊
javelin_(azur_lane),标枪(碧蓝航线)
jeanne_d'arc_(fate),圣女贞德（命运）
jeanne_d'arc_(granblue_fantasy),ジャンヌダルク(神撃のバハムート)
jouga_maya,条河麻耶
jougasaki_mika,城崎美嘉
jougasaki_rika,城ヶ崎莉嘉
junketsu,神衣纯洁
junko_(touhou),纯子（东方）
kadotani_anzu,角谷杏
kaenbyou_rin,火焰猫燐
kafuu_chino,香风智乃
kaga_(azur_lane),加贺(碧蓝航线)
kagamihara_nadeshiko,各務原なでしこ
kagamine_len,镜音连
kagamine_rin,镜音铃
kagiyama_hina,鍵山雛
kagura_(gintama),神楽(銀魂)
kagurazaka_asuna,神楽坂明日菜
kaguya_luna,輝夜月
kaiou_michiru,海王みちる
kaizuka_inaho,界塚伊奈帆
kaku_seiga,霍青娥
kallen_stadtfeld,紅月カレン
kamado_nezuko,灶门祢豆子
kamijou_touma,上条当麻
kamikita_komari,神北小毬
kamio_misuzu,神尾观铃
kamio_reiji_(yua),神尾提督（舰C）
kamishirasawa_keine,上白沢慧音
kamiya_nao,神谷奈绪
kamui_gakupo,神威がくぽ
kaname_madoka,鹿目まどか
kanaria,金糸雀
kanbaru_suruga,神原駿河
kanna_kamui,カンナカムイ(小林さんちのメイドラゴン)
kano_shuuya,鹿野修哉
kanon_(umineko),嘉音
kanroji_mitsuri,甘露寺蜜璃
kan'u_unchou,关羽云长
kanzaki_ranko,神崎兰子
kariya_masaki,狩屋マサキ
karna_(fate),カルナ(Fate)
kasane_teto,重音テト
kashiwazaki_sena,柏崎星奈
kashuu_kiyomitsu,加州清光
kasodani_kyouko,幽谷響子
kasuga_ayumu,春日歩
kasugano_sakura,春日野さくら
kasumi_(doa),霞(DOA)
kasumigaoka_utaha,霞之丘诗羽
katagiri_sanae,片桐早苗
katou_asuka,加藤明日香
katou_megumi,加藤惠
katsuki_yuuri,胜生勇利
katsura_hinagiku,桂雏菊
katsuragi_misato,葛城美里
katyusha_(girls_und_panzer),喀秋莎（少女与战车）
kawakami_mai,川神舞
kawashima_ami,川岛亚美
kawashima_momo,河嶋桃
kawashiro_nitori,河城荷取
kay_(girls_und_panzer),ケイ(GuP)
kazama_asuka,風間飛鳥
kazami_yuuka,風見幽香
kazami_yuuka_(pc-98),旧作幽香
kazanari_tsubasa,風鳴翼
kazemaru_ichirouta,風丸一郎太
kenzaki_makoto,剣崎真琴
kiana_kaslana,琪亚娜·卡斯兰娜
kido_tsubomi,木戸つぼみ
kijin_seija,鬼人正邪
kikuchi_makoto,菊地真
kino_makoto,木野まこと
kinomoto_sakura,木之本樱
kira_yoshikage,吉良吉影
kirigaya_suguha,桐谷直叶
kirigiri_kyouko,雾切响子
kirijou_mitsuru,桐条美鹤
kirima_syaro,桐间纱路
kirin_(armor),麒麟套
kirino_ranmaru,霧野蘭丸
kirisame_marisa,雾雨魔理沙
kirito,桐人
kiriya_aoi,霧矢あおい
kiryuuin_satsuki,鬼龙院皋月
kisaragi_(azur_lane),如月（碧蓝航线）|如月
kisaragi_chihaya,如月千早
kisaragi_momo,如月モモ
kisaragi_shintarou,如月伸太郎
kise_yayoi,黄瀬やよい
kishibe_rohan,岸边露伴
kishin_sagume,稀神サグメ
kishinami_hakuno_(female),岸波白野
kitashirakawa_tamako,北白川たまこ
kitazawa_shiho,北泽志保
kiyohime_(swimsuit_lancer)_(fate),清姫（泳装）
kizuna_ai,絆愛
kizuna_akari,紲星あかり
koakuma,小悪魔(東方Project)
kobayakawa_rinko,小早川凛子
kobayakawa_sae,小早川紗枝
kobayakawa_yutaka,小早川ゆたか
kochiya_sanae,东风谷早苗
kochou_shinobu,胡蝶しのぶ
kogitsunemaru,小狐丸
kohinata_miho,小日向美穂
kohinata_miku,小日向未来
koizumi_hanayo,小泉花阳
koizumi_itsuki,古泉一樹
koizumi_itsuki_(female),古泉一姫
kokonoe_rin,九重りん
komaeda_nagito,狛枝凪斗
komaki_manaka,小牧愛佳
komeiji_koishi,古明地恋
komeiji_satori,古明地觉
kondou_taeko,近藤妙子
kongou_(aoki_hagane_no_arpeggio),コンゴウ(蒼き鋼のアルペジオ)
konjiki_no_yami,金色之暗
konno_junko,紺野純子
konpaku_youki,魂魄妖忌
konpaku_youmu,魂魄妖梦
konpaku_youmu_(ghost),半霊
koshimizu_sachiko,輿水幸子
kotegawa_yui,古手川唯
kotobuki_tsumugi,琴吹䌷
kotomine_kirei,言峰綺礼
kotonoha_akane,琴葉茜
kousaka_honoka,高坂穗乃果
kousaka_kirino,高坂桐乃
kousaka_kyousuke,高坂京介
kousaka_reina,高坂麗奈
kousaka_tamaki,向坂環
koyama_yuzu,小山柚子
kozakura_marry,小桜茉莉
kuchiki_rukia,朽木ルキア
kuga_natsuki,玖我なつき
kujikawa_rise,久慈川りせ
kujou_karen,九条カレン
kumoi_ichirin,雲居一輪
kunikida_hanamaru,国木田花丸
kuradoberi_jam,蔵土縁紗夢
kurodani_yamame,黒谷ヤマメ
kuroka_(high_school_dxd),黒歌
kurokawa_eren,黒川エレン
kuroki_tomoko,黒木智子
kurosaki_ichigo,黑崎一护
kurosawa_dia,黑泽黛雅
kurosawa_ruby,黑泽露比
kuroyukihime,黑雪姬
kurugaya_yuiko,来ヶ谷唯湖
kurumi_erika,来海えりか
kusakabe_misao,日下部みさお
kusanagi_motoko,草薙素子
kushieda_minori,櫛枝実乃梨
kusugawa_sasara,久寿川ささら
kyonko,キョン子
kyouka_(princess_connect!),氷川鏡華
laffey_(azur_lane),拉菲（碧蓝航线）
lappland_(arknights),拉普兰德
lei_lei,泪泪
lili_(tekken),リリ(鉄拳)
lilith_aensland,欲望の迷い子リリス
lillie_(pokemon),リーリエ(ポケモン)
lisbeth,篠崎里香
little_red_riding_hood_(grimm),赤頭巾
lord_el-melloi_ii,ロード・エルメロイII世
lulu_(league_of_legends),露璐
madotsuki,窓付き
maebara_keiichi,前原圭一
maekawa_miku,前川みく
makinami_mari_illustrious,真希波・マリ・イラストリアス
makise_kurisu,牧瀬紅莉栖
manabe_nodoka,真鍋和
manjuu_(azur_lane),蛮啾（碧蓝航线）
mankanshoku_mako,満艦飾マコ
maou_(maoyuu),魔王(まおゆう)
marie_(girls_und_panzer),マリー(GuP)
maruyama_aya,丸山彩
mash_kyrielight,玛修·基列莱特
matara_okina,摩多羅隠岐奈
matoba_risa,的場梨沙
matoi_ryuuko,纏流子
matou_kariya,間桐雁夜
matou_sakura,间桐樱
matsukaze_tenma,松風天馬
matsumoto_rangiku,松本乱菊
matsuno_choromatsu,チョロ松
matsuno_ichimatsu,松野一松
matsuno_jyushimatsu,十四松
matsuno_karamatsu,松野カラ松
matsuno_osomatsu,おそ松
matsuno_todomatsu,松野トド松
matsuura_kanan,松浦果南
mayuzumi_fuyuko,黛冬优子
medicine_melancholy,梅蒂欣
megurine_luka,巡音流歌
meltryllis_(swimsuit_lancer)_(fate),メルトリリス(水着)
midare_toushirou,乱藤四郎
midorikawa_nao,绿川直
midoriya_izuku,绿谷出久
mifune_miyu,三船美優
miia_(monster_musume),ミーア(モンスター娘のいる日常)
mika_(girls_und_panzer),ミカ(GuP)
